index,condensed codes,extract
5323,communication and learning about pain,"There is no such thing as a stupid question here. Many people get changes in their pain levels with changes in the barometer readings. I have had the same thing happen with migraines, I get more when the weather is changing, and they are worse. I believe there are actual medical studies that show this to be true with the connection of weather and chronic pain levels. I have used Lidoderm patches with fairly good effect, on top of all my other meds. They are my last ditch thing to try. They are very expensive, I would not use them if my insurance did not cover them. My hot tub is a life saver. I KNOW that my pain will improve while I am sitting in it, it doesn<APO>t last long after I get out, but sometimes long enough to fall asleep. I was able to deduct a portion of the cost of it on our income taxes as a medical expense. I did have to get a letter from my doctor saying it was medically necessary. Talk to your doctor, preferably in person and tell him what your pain levels have been like lately, and ask him what to try to help them. Take care, Annette"
1012,exploring non pharmaceutical techniques for pain,"Yes, you are right. I miswrote and put Tegaderm instead of Lidoderm. Thanks for the correction. I am rather overweight, and the Lidoderm patches DO help me with leg and hip pain both. Trust me my hips are plenty big enough that I didn<APO>t think the Lidoderm patches would help with pain there, but they do. I only tried them because another chronic pain patient that used to post here said she loved them. My doc gave me some samples, and then I got a RX and got more. Because they are so expensive, I only use them when things really hurt alot, and they do help decrease my pain considerably. Since I changed my long acting pain med, I haven<APO>t needed them but once. Take care, Annette"
2727,primary care provider interactions,"I don<APO>t believe that FMS and CFIDS are the same disorder. They may be related, I don<APO>t know. I have FMS, but I do not have the criteria for CFIDS. Having chronic fatigue is completely different than having Chronic Fatigue Syndrome. Having chronic fatigue means you are tired all the time. Many people have that for many different reasons. CFIDS includes fevers that FMS does not for one thing off the top of my head. Take care, Annette"
1385,policy and pharmaceuticals,"I take neurontin and I love it. It has been a wonder drug for me. The side effects for me were a drunk feeling the first few hours after I took it. I take my total daily dose a few hours before bedtime all at once, instead of divided doses. That side effect went away after a few weeks at a steady dose. I tried Lyrica when it first came out, it was much more expensive, although my insurance covers it. I did have to pay a higher co-pay because it was not available in generic, and did not do any better than the neurontin, so back I went. I truly believe that the chemical difference is so slight that it really is not worthwhile to take the more expensive newer drug in this case, but that is just my opinion. I looked in my drug book for nurses and the side effect of twitching and a change in muscle coordination happens in only 1-2% of users. My nocturnal myoclonus actually was much decreased when I started taking this med for pain management. I used to kick holes in my bottom sheet at night, but not anymore. Discuss your symptoms with your doctor and see what he says. Thank you for your military service. My son was in the Marines for 8 years, and I do appreciate your sacrifice. Take care, Annette"
5352,pharmaceutical adverse effects,"If you are on methadone and oxycodone and you still have pain ""as bad as it has always been"", then either the meds need to be adjusted to a higher level so they do reduce your pain, or they don<APO>t work at all, and should be discontinued. If they have never worked, then you and your doctor might try something else. If they worked at first, then gradually stopped working, then they probably need to be adjusted upwards. Discuss this with your PM doctor. Since he is an excellent doctor and you two seem to get along well together, talk to him!! Take care, Annette"
3899,surgical,"I personally believe that any surgical procedure used to manage chronic pain should only be used when all other non-invasive treatments fail. I find this to be true about most medical situations. They also all require some followup, and who knows what ones medical insurance will be in the future. I personally have not had either, and continue to use opiates and other non-opiate therapies for my chronic pain over the last 15 years or so. Take care, Annette"
3728,pharmaceutical therapy,"Vicodin is an opiate pain med. He should not wait to take his meds until the pain is severe. Better to take it earlier on, it will work better, his pain will be less, and in the end he will probably take less anyway. All this is old medical stuff I was taught in nursing school many, many years ago. Now that I have chronic pain, I have found this to be true. My husband had a hip replaced several years ago, his gait also changed, and he got used to walking kind of hunched over before the surgery. The hip surgery is generally easier to get over than knee surgery. Your husband may always have some kind of pain in his knee, but the best thing, I feel, is to see a good doctor or two or three before any new surgery. He may have already done this. Once his knee is fixed, work on his gait and posture with the doctor and a good PT. Take care, Annette"
4589,communication and learning about pain,"Please remember that everyone is different and responds to withdrawal in a different manner. My husband has gone off of methadone and oxycodone (together) twice during our 25 years together and neither time did he have any withdrawal symptoms at all. He had told me that he withdrew from opiates when he had cancer before I knew him, and had no withdrawals. I really did not believe him, but this time I was there and he had NO withdrawals either time. I tapered him down and off myself. He had surgery and his pain was relieved one time, and he just wanted off of opiates the other time. I cut my methadone dose in half after I had breast reduction surgery and had no withdrawals at all. No increase in pain either. I had terrible withdrawal symptoms from benzos about 13 years ago. No seizures though, thank God. What doses of what drugs are you down to at this point? Beth has lots of good suggestions. Take care, Annette"
782,pharmaceutical adverse effects,"My ""Drug Information Handbook for Advanced Practice Nursing"" is the book I use for looking up drugs as a first line block of information. Often I can feel if it has the info I need very quickly, if not then I look up other sites to find more info. I feel very comfortable using the info they give me. I know once I call a drug company, I introduce myself as a nurse say and have a question about one of the drugs they make. I ask to speak to a pharmacist or a doctor please. They divulge all the important info about a specific drug when I ask them nicely, they have always answered all my questions nicely"
4370,pharmaceutical therapy,"You could also try tramadol. I found it was as good as about 1 vicodin myself. We are all different though. Talk to your doctor about it. Take care, Annette"
2171,surgical,"Of course, losing mobility causes its own group of health problems including independence, but the latest medical study also showed neurological/cognitive changes after a hip fracture with a surgical repair. Take care, Annette"
3143,pharmaceutical therapy,"I don<APO>t know what tests you had done to determine the ""therapeutic level"" for methadone. The only blood test I have had for opioids was to check to see if the amount in my blood stream correlated with the amount I was taking. It is my understanding that the therapeutic amount of opioids is the amount that relieves your pain without causing side effects that would preclude you from taking it. Because of tolerance that amount may change from person to person and from one time to another for the same person. 180 mg. of methadone a day is high enough to be concerned about cardiac arrythmias, these can happen any time during treatment, so I would can understand your PM doc being concerned and would discuss with him how often to get the EKGs done. Were you getting good pain relief from the 180 mg. per day of methadone? I am a bit confused about your last comment about politics being involved with treatment, are you talking about your pain treatment or something else? So far you have only discussed medical concerns not political ones. Take care, Annette"
987,communication and learning about pain,"If, he has been out of all his pills for seven days, he is past the worst of withdrawal already. If he has only been out of the vicodin for seven days, at least he is off the med containing tylenol. You said he was on oxycodone not percocet, plain oxycodone either short or long acting does not have tylenol in it. Look on the label if it has APAP on it with oxycodone, then discuss this with your husband and his doctor. It should not take the doctor a year to wean him off of any meds he is still on. He may not choose to take him off of all the meds, that would depend on your husband and the recommendation of the addictions specialists too. Why he was taking all those pills is the important thing in deciding these things, Be strong for your hubby, you might see a therapist yourslf. To learn the best way to help him. Take care of youuself"
80,primary care provider interactions,"Did your OB prescribe the amoxicillin or did your pcp? If you have already seen your pcp and she prescribed these meds you are currently on, then you need to call her back and make an appt. to see her again. If you have not seen your pcp yet, get to it. If you get short of breath from even just talking and you ""have basically been on the couch motionless for the 2 weeks"" you clearly should NOT drive a car, if your doctor cannot see you, perhaps you have someone take you to the ER. Take care, Annette"
1733,headache,"Not all neurologists are migraine specialists. It sounds like he has done all he knows how to do. I would go see a headache specialist. Narcotics like vicodin are bad choices for headaches, unless you only get one once in awhile. Taking them daily can cause rebound headaches, or chronic daily headaches. You say they aren<APO>t working anymore anyway. I started having migraines at about 35 years of age, but some people start getting them as children. Once you have taken all the different kinds of preventatives, then you start over taking them two at a time, and do all the combinations. I had to have prednisone once to break the migraine cycle, it worked. I still had migraines, but not daily ones. Take care, Annette"
4434,policy and pharmaceuticals,"I tried to look these two drugs up in my drug books and on line and found a different spelling for Hycosamine, but it was the same drug I thought it was, an antispasmodic. I used to take it for urinary tract spasms. Dicyclomine is also known as Bentyl, an antismasmodic that is usually used for GI problems. It works on the involuntary muscles of the GI system, not the skeletal muscles. Hyoscyamine (closest spelling I could find) is otherwise known as Levbid, is also an antispasmodic commonly used for GI and urinary tract muscle spasms, both involuntary muscles, not skeletal muscles. I didn<APO>t find anything under the spelling you gave me, so I am not certain this is the same drug you mentioned. Antispasmodics are generally for the involuntary muscles of the GI and urinary tract.The doctor may have told you they relax the muscles of the GI system, different words for the same things. Muscle RELAXANTS generally refer to things like flexeril, Zanaflex, etc., they are for the skeletal muscles and do not affect the GI or urinary tract or the muscles that help make them work. This is the way I have learned about them in nursing school and since in general use in nursing. These two drugs are useful for the kind of GI problem that you mentioned. The muscles relaxants like flexeril and Zanaflex are the muscle relaxants usually used for skeletal muscles spasms like you would find in back pain, but would not be useful for GI pain and muscle spasms. Antispasmodics and muscle relaxants are two different kinds of drugs. I may have misunderstood what you were saying, because I think of these two drugs as antispasmodics, not muscle relaxants, which are a different class of drugs entirely, according to what I have learned. In different geographic areas, doctors use different terms to describe various medical things, including medical equipment and drugs. Take care, Annette"
4142,pharmaceutical therapy,"Please see your own doctor for a good evaluation and diagnosis. Let him or her know about your anxiety disorder, let them treat that as well as any physical problems. My best advice is to avoid eating caffeine or anything that makes you feel sick. There are elimination diets that can help you figure out what you can and cannot eat safely. Talk to your doctor. My internal medicine doctor said to take prenatal vitamins for hair thinning, she had read some medical studies about it working, and had a few patients that felt positively about it. I had a normal thyroid test also. They are just over the counter vitamins, so they should be safe until you get an okay from your own doctor. If you do not feel good talking to your won doctor about all your issues, get a doctor that does make you feel comfortable. Take care, Annette"
2640,pharmaceutical therapy,"It depends on what else you are taking, and what kind of anti-anxiety meds you are talking about. Anti-anxiety meds do not change the stress you are under, whatever is causing the stress will still be there. Learn how to better respond to stressful situations. If you are having pain from headaches or whatever, treat the pain the best way you can and change how you respond to stress in general. Take care, Annette"
3486,primary care provider interactions,"I really believe that one should see a doctor for any new or different kind of pain, you health and life is too important to use a message board for diagnosis. Take care, Annette"
3584,communication and learning about pain,"I believe that high levels of acute pain might impede your ability to make good decisions during that moment, but chronic pain is different. I think one would need a lot more information to answer your question. Take care, Annette"
2306,communication and learning about pain,"I think using any medications/treatments to manage pain is a personal decision to me made by the person with the pain and their doctor together. Some people can manage their pain with no drugs at all, some use non-opiate drugs, some use whatever works. What is really the moral difference between using a non-opiate and an opiate drug? Chronic pain is often part of a non-curable condition, what right do I have to judge what another person chooses to do for the rest of their life? I have chosen not to use opiates at one certain stage in my life, now I opt to use them, that may change again before I finally die, I am only 60 years old. I have never considered the pain to be managing me, whether I opt to use opiates or not. Take care, Annette"
2963,primary care provider interactions,"I agree about telling the doctor that you are happy with her procedure. You are right, we all like to hear positive things. She is invested in ""her"" treatment working, and all you can do is slowly educate her about your use of narcotics in your life and how they work for you. I really believe that pain management is all about using each of the various modalities that work for you, the sum total of the relief you feel may show her that her treatment is a good part of that for you, but that ""narcotics"" are also a part of your life. Take care, Annette"
441,pharmaceutical adverse effects ,"It sounds like because of the probation officer you will be forced to be honest with your doctor, that is a good thing for you in the long run, but it might be tougher for the short term. Some pain management doctors have associates that manage addiction in patients who need it, and it sounds like that might be helpful for you. I don<APO>t know if your new pain management doctor does that or not, you will have to see when you talk to him. You may need to detox off of the heroin just to find out what your pain levels are now that you got your clavicle fixed. Then you and your doctor can assess the pain you do have and decide how best to handle it. Opiates may not be the answer for you at this time. There may be other treatments that work better for you. MRI results are not accurate predictors of pain. This is a big challenge for you, best of luck to you. Take care, Annette"
140,surgical,"Never go along with having a surgical procedure imposed on you. If you can<APO>t afford it, tell the doctor that. If you just don<APO>t believe it will help you, wait until you feel the risks are worth the possible benefits. You can always ask the doctor outright if he will stop prescribing PM meds for you if you refuse this procedure. I would have a friend or family member present when you discuss this with him. A witness is always a good thing. Take care, Annette"
2937,pharmaceutical therapy,"My understanding of your post is that your doctor from the old PM clinic moved his practice to the new clinic where you are now a patient. (You also changed to the new clinic.) His new group practice may have specific rules about prescribing scheduled drugs for non-cancer chronic pain. My doctor originally was with a clinic down the street from where I live. She was the only doctor in that group who would prescribe opiates to chronic pain patients, she asked us all to please not request refills or RXs from the other doctors in her group. Their philosophy was so different that eventually she left and went into private practice. I followed her to her new place. She just joined another group this year, and I followed her again. She has been my pcp for over 15 years now. I really like her a lot. We fit well together. So far so good. I have only been to the new place once so far. I know that group practices (clinics) often have internal rules about some things. Perhaps pain meds is one at your doctor<APO>s new clinic. Please talk to him and ask him all these questions, he is the only one who knows why he is doing what he is doing. If you haven<APO>t yet done it, please get an EKG now and yearly since you are on methadone. Meanwhile ask around your circle of friends and family and see if any one doctor<APO>s name crops up frequently as a good doctor. After you talk to him many questions may be answered or not. But, I hope they are. Take care, Annette"
2396,pharmaceutical therapy,"Other people post and complain that they can<APO>t get opiates in Florida because of all the drug abusers??? I don<APO>t know, I live on the West Coast. Take care, Annette"
3753,communication and learning about pain,"I agree that there is no genetic marker at this time for FMS. However, there have been PET scans of the brain that show clear differences between those with FMS and people without FMS. For this reason I believe that it IS a neurological disorder, with definitive indications of it being a physiological disorder. Take care, Annette"
3586,pharmaceutical therapy,"Dr. A, I volunteered on a state committee to study opiates when used for chronic pain about ten years ago. For various reasons we found a dearth of good head to head studies of pain meds. We used a data base of evidence based studies done in English, and found very few good ones. We did the best we could, and commented in our report that much more study was needed. I totally agree that medicine is an art as well as a science. I have discovered while working as a nurse, that geography seemed to have a fair amount of effect on clinical practice. Some drugs were not used at all in one state, others were used instead. I had to do my own reading to keep up with all this too. I assumed that doctors affected each other as well as reading research studies. It was amazing when new doctors moved into town with new ideas. I hope we have many more discussions like this one. Take care, Annette"
2315,pharmaceutical therapy,"I agree with Gail now that you have ruled out any heart problems, you need to continue to seek out other causes of pain. I have bad discs in my neck and the pain I get goes from the shoulder blade deep into the chest. Costochondritis can also cause chest pain. Oral opiates don<APO>t seem to work well in some patients who have had gastric by-pass surgery because they aren<APO>t absorbed as well. If you have been taking the vicodin daily for at least a week, your doctor might try you on a low dose fentanyl patch and see if that is better at controlling this pain. However, if your pain only lasts a few days every couple of weeks, that might not be appropriate for you. You might want to ask your gastric surgeon what kinds of pain meds he recommends for by-pass patients for chronic pain long after their surgery is over with. If he has any suggestions I would appreciate it if you would come back and post again and tell us what does work. This has come up several times on this board without a satisfactory answer. Take care, Annette"
4408,exploring non pharmaceutical techniques for pain,"I really think it is a matter of what goes in, calorie-wise and what is used up, calorie-wise. I have lost about 60 pounds now, over several years, mostly by increasing my exercise to one hour a day. There are certainly plateaus, and it is a slow business, but I feel generally better. I don<APO>t think it matters much for my pain levels, but globally I do feel better. Do whatever exercise you can do for the rest of your life. Something you truly enjoy. So far, I have not altered my poor eating habits, I guess that would be next. I don<APO>t smoke, drink, do illegal drugs, etc. so I have no other bad habits to give up, lol. Take care, Annette"
4161,primary care provider interactions,"Tell him it is a smart ass thing to say, and ask the question over and over again, until he gives you a straight answer... Right after you tell him that a piece of string has two ENDS. Or do not even play his game by giving him that answer.... Look up piriformis syndrome about your pain in the buttocks. I have not had it, but read about this some time ago. Is Aussie Rules Football anything like rugby? I avoid watching sports other than soccer, my son is a rugby fan, but watches everything on TV. Take care, Annette"
2811,pharmaceutical therapy,"That was your experience on methadone, it is not everyone<APO>s. My husband has tapered off of methadone twice in the last twenty years in a matter of weeks with no withdrawals at all. NONE. He also tapered off of morphine and also oxycodone without any trouble. He has the right biology for opioids, I guess, lol. I am currently on methadone and have been for nearly two years. I reduced it by half over three weeks last January (after surgery which reduced my pain) with no withdrawals at all. I expect if I went off of it altogether, I would have increased pain as my untreated pain came back full force. I expect I will have to gradually increase it over time as I develop tolerance to it. I have been on opioids for fifteen years now so I know how my body responds to them. EVERYONE responds differently, and I think you are spot on when you say folks need to work through this WITH their doctor. People who stop taking any drugs without discussing it with their doctor first are playing with fire. I hope your current treatment plan keeps you relatively comfortable. Take care, Annette"
1318,primary care provider interactions,"I would also recommend you see a rheumatologist for an accurate diagnosis. It may well be you do have FMS, but if you are concerned enough to worry about it, get the tests done that are available for MS so you don<APO>t need to worry. A spinal tap and an MRI are the most definitive tests for MS that I am aware of. Even then it is possible to have it in its very early stages and not show up. Myself, I have FMS, and DDD of my cervicle spine, I don<APO>t look for more things to worry about. Neurological symptoms are not that unusual in FMS, parasthesias like burning, numbness and tingling are things that I find common. You might go to the FMS Exchange, they have Dr. Pellegrino there, he is great, knows all about FMS, he actually has it himself, post there and ask for him by name in the heading. Take care, Annette"
849,pharmaceutical therapy,"I have found that the way to measure your pain med needs is to add up everything you take in a 24 hour period, that would be your total daily dose. I think your doctor<APO>s suggestion of trying half a pill every two hours rather than one at a time over a longer time span might help you. I had a patient once who did her pain meds that way and it worked much better for her. She actually started taking her meds broken in quarters every hour instead of one whole pill every four hours. All you can do is try it and see how it works for you. Meds like BT meds that are written to be taken every four hours ""as needed for pain"", are not meant to be taken that way 24/7, the doctor expects you to have times on your long acting meds where you do not need to take the BT meds. If you still have pain 24 hours a day, your long acting meds probably need an increase in dose. Discuss this with your doctor. I agree with your doctor about seeing a shrink for the emotional problem related to your chronic pain, or any other reason also. They are specialists in their field, and are familiar with the required meds and therpies used for anxiety and depression. If you had a brain tumor you would see a neurologist, why not a shrink for anxiety and depression? Take care, Annette"
5280,pharmaceutical therapy,"I am sure Charles will also respond, but here is my experience. I find the long acting opiates do work for 12 hours for me, but some people prefer to take them every 8 hours. I don<APO>t think you should ""feel them"" start to work. If you are on the correct dose, you should just feel better and use the breakthrough meds less. I think 2-3 days on a new dose is long enough to know if the dose is working well for you. If it isn<APO>t, just go see the doctor and explain to him just how you are taking them and what your pain levels are. It may help to keep a journal for awhile. I approach my doctor with whatever decrease in function I may have in response to the pain, rather than just saying I have more pain than I want to have. Most references I have read suggest one should only need 1-2 breakthrough doses per day, but that depends on how you and your doctor wish to do it. I would expect to have more frequent appts with the doctor while sorting this out. If he prefers you deal with him over the phone about meds, you can do that. I just personally think it is a lousy way to handle med increases. I would also put off the knee replacements for as long as possible because they do keep improving the prosthetics and the surgical techniques. Take care, Annette"
1748,exploring non pharmaceutical techniques for pain,"I am so glad to hear you are up again, even though it hurts a lot. There are far too many possible complications from immobility. You know them all I am certain. If you can<APO>t walk, get up in a chair at least. Do whatever you can. Your pain sounds far out of control, is your doctor adjusting your treatments, meds? Hugs, Annette"
2574,primary care provider interactions,"Make an appt. to see your pcp and ask him to fully explain the MRI to you. GI docs know nothing about spinal MRIs so it is good that the GI doc at least told you that. Your pcp is more able to judge whether or not you are a candidate for spinal surgery than the GI doc because he had access to your labs, and knows you better. It may well be that he did not see anything on the MRI that surprised him, because he already knew about your pain problems. Don<APO>t try and figure this out on line, talk to your pcp. Take care, Annette"
3442,communication and learning about pain,"I have been taking gabapentin for the last 12-14 years. As long as it works for me, I will continue to take it. Are you having any side effects? I felt kind of drunk at first, but once the dose was settled on, all that went away. Take care, Annette"
1184,communication and learning about pain,"You need to follow up with your own doctor after you get out of the hospital. Having one bowel movement every two weeks is not close to normal. Pain meds can increase constipation. The doctor has to examine you and figure this one out. Take care, Annette"
5265,primary care provider interactions,"I am so sorry you are still in so much pain. As I recall, and I may be wrong, weren<APO>t you diagnosed with RSD? I have not read/heard anywhere that amputation is an answer for this problem. I understand, and I am no expert, that the RSD pain just moves up the nerve to the stump left by the amputation. Do you have any studies or articles on this topic? I would love to learn more about this. I try to stay up to date on pain management techniques. Take care of yourself, you are a valued member of this board. Hugs, Annette"
1145,exploring non pharmaceutical techniques for pain,"Stick with the VA as long as you can. They have pain management options available. The tests doctors do can show no structural reason for your pain, but you still need treatment for your pain. You can still have pain even with no positive reason on your MRIs or other scans. I have little or no faith in the W/C system in the states I have lived in, but the VA gives better care if you qualify for it. Thank you for your military service. My son was a Marine for eight years and I know the sacrifices it takes. Take care, Annette"
5209,surgical,"Why are you angry at yourself for your choice of surgeon? Did you have the surgery to relieve pain or to improve function? Charles can give you the numbers on success of lower back surgery, they are poor for pain relief, and somewhat better for improvement of function. Unfortunately, there are no real answers as to why the surgery works on one person and does not work for another person. Choosing the right patient is very difficult, there do not seem to be any set criteria for which person will respond better to surgery. Get a second opinion, and a third if necessary, but do not rush into more surgery, even for a spinal cord stimulator. It is not emergency surgery, take your time making your decision about what to do next. Take care, Annette"
4665,exploring non pharmaceutical techniques for pain,"Keep at whatever you are doing to lose weight. It is a marathon not a sprint to quote a friend of mine. I do not know what you and the doctors have already done, I am sorry, but I am not really familiar with chronic, long term PF. Have you seen a non-interventionalist pain management doctor? Take care, Annette"
3683,pharmaceutical therapy,"I would ask him to share this with his doctor. Has he ever shown signs of being bi-polar in the past? I got an energy boost, felt a hyperactive zing from hydrocodone many years ago when I first started taking it, it was noticable, but went away after a few weeks. I would certainly not recommend taking something else to get rid of these feelings without his doctor suggesting them. If he stopped taking the oxycodone a week ago, it would not seem like a medicine side effect at this point. I am confused by your post though, you said he had surgery one week ago and was on morphine for a week, and he was on oxycodone but stopped taking those a week ago also. When was the accident that broke both scapula? Just before the surgery? Tell him to talk to his doctor... Take care, Annette"
4216,pharmaceutical therapy,"Serotonin Syndrome is when the body gets too much serotonin in the blood. Taking multiple meds that inhibit the re-uptake of serotinin can lead to this. Taking an SSRI (serum serotonin re-uptake inhibitor) type antidepressant along with some other kind of drug that also affects serotonin levels is the most common. My family doctor explained it all to me, many years ago when he gave me the option of taking another drug after I was already on a SSRI. I took the second drug, did not get serotonin syndrome. All I remember was a high fever...sorry. Try putting it into a search engine for Medscape or some place medical. You will probably find a decent explanation. Take care, Annette"
2756,communication and learning about pain,"I also take gabapentin and have for nearly 12-13 years now. I felt somewhat drunk at first, as I take my total daily dose once a day after supper. That side effect passed and my doctor and I adjusted my dose until I felt I got good benefits, including help with pain levels, and I now have no side effects at all. I take 800 mg. per day. I really do not understand why a person who is willing to go through all that you already do, and also takes clonazepam twice a day is reluctant to even try a drug like gabapentin. I have used clonazepam in the past, and it has far more possible ill effects than gabapentin. You will never know what your personal side effects will be from any drug until you try it yourself. Take care, Annette"
2429,communication and learning about pain,"We all respond differently to drugs of all kinds, what works for one may not work for another. I am glad you are finally in a place where you at least feel mentally clear, and have lost weight. However, I have been on methadone for a year plus a few months, and I am mentally clear, and have also lost weight slowly but surely. I don<APO>t know why, but I am glad. My doc checked my labs and all is well, so I am just enjoying being more active and enjoying life even more than I was before. I lost several months of my life to antidepressants, I have no memory of that time at all. So, I don<APO>t take antidepressants at all anymore, but I know they do help many people, so I would never tell someone not to take them. Each of us has to decide for ourselves WITH our doctors what meds or other treatments to use. Opioids do not fix anything, they only change our perception of pain. That works for me. Take care, Annette"
589,headache,"If your pcp can<APO>t seem to help you, I would ask for a referral to a neurologist who manages headaches. There are some basic things to be done, then it is a matter of trying all the different kinds of meds until you find a combination that works for you. It can be frustrating and time consuming, but there really is not any other way to do it. Stick with one doctor if possible. As for the hurting in all your joints, I don<APO>t know if that is related to the headaches or not. Let the doctor know about this also, and do what he suggests to figure out what is the cause of this. Take care, Annette"
3280,pharmaceutical therapy,"10 days out and using less medicine for pain?? Good for you! I don<APO>t think using Norco twice a day is a bad thing, all things considered. Surgery does not always relieve all the pain, so just move forward, do whatever the doctor tells you to do, and see where the path leads you. Everyone is different, surgeries are different for different people. I hope you continue to heal and that things get better every day. Take care, Annette"
494,pharmaceutical therapy,"Not everyone has withdrawals from SSRIs including Cymbalta. My husband took this drug for a couple of years and tapered off of it in two weeks with no bad effects at all. He went from one pill per day to a half a pill a day for one week, then to half a pill every other day for one week. Then off. Follow your doctor<APO>s instructions, but don<APO>t expect the worst to happen, it often does not. Think positively about all health issues, it really does help. Take care, Annette"
2593,exploring non pharmaceutical techniques for pain,"I am taking a six week class on living with a chronic condition. It is given for free by a local hospital group. I will let you know if I learn anything new and exciting. Almost everyone in the room had chronic pain of some sort. Take care, Annette"
3768,exploring non pharmaceutical techniques for pain,"It depends on what medicines were used, if any. I had one tight muscle area injected and the relief was immediate. I do not know why she had trigger point injection, it is probably for a totally different problem than I had. Who knows except her doctor, she should ask him what the prognosis is and when she might feel relief. Take care, Annette"
687,surgical,"Most things more serious than muscle strains will show up in an MRI or Xray. Most muscle strains will go away after 9 months of treatment, except you have not done ALL your treatment plan, since you have not gone to PT yet. If some of your activities restrain your muscles or keep it from healing, you could be dealing with some kind of repetitive injury. If I were you, I would go to PT and get busy. Take care, Annette"
1608,primary care provider interactions,"Make an appt. and go see a doctor in the same practice as your surgeon face to face. Doctors are not allowed by federal law to prescribe opiate pain meds to a person they have never seen before, on call doctors get a lot of phone calls for opiate refills for various reasons, they are often hesitant to just give them out. When he or another doctor in the practice sees you in person, and has your chart in front of him he may be much more amenable. If he does not want to give you Lortabs, ask him what else to try instead. There may be other treatments that work as well. Speak to your own surgeon when he gets back. Tell the person making appts. that you are having a problem related to your surgery and need an appt. ASAP. Ask for the appt. if someone cancels theirs if you feel it will get you in faster. Take care, Annette"
425,primary care provider interactions,"I had one new doctor (pcp) suggest it to me one time years ago. I declined and explained how pain management worked to him, and said I would be glad to continue to get my pain meds from my rheumy. And I did. Three visits later, after he did some reading of his own, he apologized and offered to take over prescribing my opiates so I wouldn<APO>t have to drive so far to get the RXs. I passed, I really liked my rheumy and he was happy to give me my meds. We all got along fine after that. Take care, Annette"
283,exploring non pharmaceutical techniques for pain,"One can have low back pain and/or sciatica and have no positive tests. What helps the pain when she does get it? Does she take any medicine for it? Has she tried heat or ice? Massage? Has she had any injections? It might be time to just see a pain management doctor to control the symptoms, you may not find the direct cause of her pain. Take care, Annette"
1771,communication and learning about pain,"I am sure Dr. Maine will chime in when he sees this. I take methadone for chronic pain also. I believe the risks are dose related. I do know that with a higher dose comes the risk of cardiac rhythm problems, but if you are on a reasonable dose, I wouldn<APO>t worry about that. I had a basline EKG done some time ago, so I don<APO>t need to get that done. I have avoided increasing my dose so far. Why does your doctor want you off of it? Does he give you a clear reason? Take care, Annette"
688,exploring non pharmaceutical techniques for pain,"Look at your daily activities and see if anything you are doing might be aggravating the painful area. Best of luck. Take care, Annette"
964,primary care provider interactions,"Lisa, Let us know how the EMG goes on Thursday. I had one that didn<APO>t hurt at all, and one that did hurt some. The results were the same though. Best of luck to you. Take care, Annette"
459,pharmaceutical therapy,"Where can I find medical research that shows any kind of opioid withdrawal that lasts for many years afterward? What site do you use on line that has the drug precautions highlighted in red? I use a drug handbook for advanced practice nursing. I like it because it breaks down side effects on many of the drugs into the percentage of user who has them. It gives me much more info to use than just saying a drug can cause dry mouth, if it tells me that less than 1% of users get dry mouth. I use Lidoderm patches, I discovered them on line at this site. Another member explained how she used them. They are VERY expensive, even with my insurance. I find these work well on localized pain, but not on wide spread pain which I also have. I think it is always wise to use many different things for pain relief. Take care, Annette"
964,primary care provider interactions,"Lisa, Let us know how the EMG goes on Thursday. I had one that didn<APO>t hurt at all, and one that did hurt some. The results were the same though. Best of luck to you. Take care, Annette"
459,pharmaceutical therapy,"Where can I find medical research that shows any kind of opioid withdrawal that lasts for many years afterward? What site do you use on line that has the drug precautions highlighted in red? I use a drug handbook for advanced practice nursing. I like it because it breaks down side effects on many of the drugs into the percentage of user who has them. It gives me much more info to use than just saying a drug can cause dry mouth, if it tells me that less than 1% of users get dry mouth. I use Lidoderm patches, I discovered them on line at this site. Another member explained how she used them. They are VERY expensive, even with my insurance. I find these work well on localized pain, but not on wide spread pain which I also have. I think it is always wise to use many different things for pain relief. Take care, Annette"
618,pharmaceutical adverse effects ,"If any person is using any opioid in any other way than the doctor prescribed it, it is abnormal. Doctors do not normally prescribe methadone to be taken IV at home. If this person has oral tablets and is crushing them and dissolving them to shoot up in their veins, they are drug abusers. If they are taking drugs not prescribed to them, they are drug abusers. If they have IV vials of methadone and it is prescribed to them, and they are using it according to the RX, then they are doing what their doctors said to do. If you have any concerns, call their doctor and explain to him what you have seen and let him deal with it. Call 911 if you have any concerns about the safety of the person you are talking about. Take care, Annette"
2935,headache,"If taking the birth control Pill decreases your migraines, except during the week that you take the dummy pills, the doctor can prescribe them for you to take the active pills every day and only stop to let yourself bleed once every three months, or whatever length of time the two of you agree on. This can prevent a lot of migraines over the course of a year. Take care, Annette"
4884,primary care provider interactions,"I would opt for a pain management specialist that does more than just interventions or considers himself an interventionist. Be sure you have a specialist who uses daily drugs as well as procedures, injections, etc. I have found cognitive behavioral therapy to be very useful, in addition to my medications. Just remember we all different and what works for me may not work well for you. Take care, Annette"
